year,sex,marital_status,age,outside_labour_force
1997,male,single,40-44,1900
1997,male,single,45-49,1300
1997,male,single,50-54,800
1997,male,single,55-59,900
1997,male,single,60-64,1000
1997,male,single,65-69,900
1997,male,single,70_and_over,1200
1997,male,married,15-19,1000
1997,male,married,20-24,400
1997,male,married,25-29,700
1997,male,married,30-34,300
1997,male,married,35-39,500
1997,male,married,40-44,900
1997,male,married,45-49,2200
1997,male,married,50-54,4500
1997,male,married,55-59,13500
1997,male,married,60-64,21900
1997,male,married,65-69,21100
1997,male,married,70_and_over,34500
1997,male,widowed_divorced,15-19,-
1997,male,widowed_divorced,20-24,-
1997,male,widowed_divorced,25-29,-
1997,male,widowed_divorced,30-34,-
1997,male,widowed_divorced,35-39,200
1997,male,widowed_divorced,40-44,100
1997,male,widowed_divorced,45-49,300
1997,male,widowed_divorced,50-54,500
1997,male,widowed_divorced,55-59,1000
1997,male,widowed_divorced,60-64,1700
1997,male,widowed_divorced,65-69,2800
1997,male,widowed_divorced,70_and_over,10700
1997,female,single,15-19,84600
1997,female,single,20-24,25000
1997,female,single,25-29,2700
1997,female,single,30-34,1700
1997,female,single,35-39,1800
1997,female,single,40-44,2000
1997,female,single,45-49,2200
1997,female,single,50-54,1100
1997,female,single,55-59,1700
1997,female,single,60-64,1300
1997,female,single,65-69,1200
1997,female,single,70_and_over,1600
1997,female,married,15-19,1000
1997,female,married,20-24,5900
1997,female,married,25-29,22600
1997,female,married,30-34,47800
1997,female,married,35-39,60300
1997,female,married,40-44,57300
1997,female,married,45-49,49700
1997,female,married,50-54,36800
1997,female,married,55-59,38800
1997,female,married,60-64,28400
1997,female,married,65-69,21000
1997,female,married,70_and_over,21600
1997,female,widowed_divorced,15-19,-
1997,female,widowed_divorced,20-24,100
1997,female,widowed_divorced,25-29,100
1997,female,widowed_divorced,30-34,600
1997,female,widowed_divorced,35-39,700
1997,female,widowed_divorced,40-44,1000
1997,female,widowed_divorced,45-49,2400
1997,female,widowed_divorced,50-54,4100
1997,female,widowed_divorced,55-59,9300
1997,female,widowed_divorced,60-64,12800
1997,female,widowed_divorced,65-69,16800
1997,female,widowed_divorced,70_and_over,48800
1998,male,single,15-19,94300
1998,male,single,20-24,32300
1998,male,single,25-29,6200
1998,male,single,30-34,1800
1998,male,single,35-39,1400
1998,male,single,40-44,1800
1998,male,single,45-49,1500
1998,male,single,50-54,1400
1998,male,single,55-59,1300
1998,male,single,60-64,1200
1998,male,single,65-69,1100
1998,male,single,70_and_over,1700
1998,male,married,15-19,300
1998,male,married,20-24,300
1998,male,married,25-29,500
1998,male,married,30-34,500
1998,male,married,35-39,500
1998,male,married,40-44,900
1998,male,married,45-49,1900
1998,male,married,50-54,5500
1998,male,married,55-59,13400
1998,male,married,60-64,21700
1998,male,married,65-69,23700
1998,male,married,70_and_over,39400
1998,male,widowed_divorced,15-19,-
1998,male,widowed_divorced,20-24,-
1998,male,widowed_divorced,25-29,-
1998,male,widowed_divorced,30-34,-
1998,male,widowed_divorced,35-39,-
1998,male,widowed_divorced,40-44,-
1998,male,widowed_divorced,45-49,100
1998,male,widowed_divorced,50-54,300
1998,male,widowed_divorced,55-59,700
1998,male,widowed_divorced,60-64,2200
1998,male,widowed_divorced,65-69,3100
1998,male,widowed_divorced,70_and_over,11700
1998,female,single,15-19,90400
1998,female,single,20-24,27300
1998,female,single,25-29,3800
1998,female,single,30-34,1500
1998,female,single,35-39,1700
1998,female,single,40-44,1800
1998,female,single,45-49,2800
1998,female,single,50-54,1600
1998,female,single,55-59,1400
1998,female,single,60-64,1400
1998,female,single,65-69,800
1998,female,single,70_and_over,1900
1998,female,married,15-19,600
1998,female,married,20-24,5500
1998,female,married,25-29,22200
1998,female,married,30-34,46300
1998,female,married,35-39,57200
1998,female,married,40-44,58200
1998,female,married,45-49,50200
1998,female,married,50-54,40800
1998,female,married,55-59,35500
1998,female,married,60-64,31200
1998,female,married,65-69,22000
1998,female,married,70_and_over,24300
1998,female,widowed_divorced,15-19,-
1998,female,widowed_divorced,20-24,-
1998,female,widowed_divorced,25-29,100
